name,standard_name,parent_company,country_hq,industry,involvement_types,data_sources,confidence_score
Africa Israel clothing line,,,,,,bdscoalition.ca,0
Africa Israel Investments,,,,,,bdscoalition.ca,0
Afrin,,Bayer,,,,bdscoalition.ca,0
After 8,,Nestle,,,,bdscoalition.ca,0
Aga Khan Museum (Toronto),,,,,,bdscoalition.ca,0
"Agape Restoration Outreach Centre, Inc",,,,,,bdscoalition.ca,0
Agilite,,,,,,bdscoalition.ca,0
Agoda,,Booking Holdings,,,,bdscoalition.ca,0
AGP Ventures,,,,,,bdscoalition.ca,0
Agrexco Carmel Agricultural Export Company,,,,,,bdscoalition.ca,0
Agrifood Marketing,,,,,,bdscoalition.ca,0
Agrofresh Pro,,,,,,bdscoalition.ca,0
Agrotop,,,,,,bdscoalition.ca,0
Aha Sparkling Water,,Coca-Cola,,,,bdscoalition.ca,0
Ahava Dead Sea Laboratories,,Fosun,,,,bdscoalition.ca,0
Ahuzat Adi Construction Company,,,,,,bdscoalition.ca,0
Aimpoint AB,,,,,,bdscoalition.ca,0
Aino,,Nestle,,,,bdscoalition.ca,0
Aio skin,,Procter and Gamble,,,,bdscoalition.ca,0
Air Canada,,,,,,bdscoalition.ca,0
Air France,,,,,,bdscoalition.ca,0
Air India,,,,,,bdscoalition.ca,0
Air Transat,,,,,,bdscoalition.ca,0
Air Wick,,Reckitt Benckiser,,,,bdscoalition.ca,0
Airbnb Inc.,Airbnb Inc,,usa,Internet Content & Information,"settlements, occupation","bdscoalition.ca, investigate.afsc.org",0.5
Airborne,,Reckitt Benckiser,,,,bdscoalition.ca,0
Aird Berlis,,,,,,bdscoalition.ca,0
Airwalk,,Authentic Brands Group,,,,bdscoalition.ca,0
Airwaves Gum,,Mars,,,,bdscoalition.ca,0
AIX Ventures,,,usa,,,bdscoalition.ca,0
Ajax Cleaner,,Colgate Palmolive,,,,bdscoalition.ca,0
Ajinomoto,,,,,,bdscoalition.ca,0
Akamai,,,,,,bdscoalition.ca,0
AKO Capital,,,,,,bdscoalition.ca,0
Ala Detergent,,Unilever,,,,bdscoalition.ca,0
Alacam,,Nestle,,,,bdscoalition.ca,0
Alaska Airlines,,Alaska Airlines,,,,bdscoalition.ca,0
Alate Partners,,,,,,bdscoalition.ca,0
Albar Mimunit Services,,,,,,bdscoalition.ca,0
Alberta Investment Management Corp.,,,,,,bdscoalition.ca,0
Album VC,,,usa,,,bdscoalition.ca,0
Alcorn Partners,,,,,,bdscoalition.ca,0
Aldo,,Aldo Group,,,,bdscoalition.ca,0
Alecta,,,,,,bdscoalition.ca,0
Aleph,,,,,,bdscoalition.ca,0
Aleve,,Bayer,,,,bdscoalition.ca,0
Alexander McQueen,,Kering,,,,bdscoalition.ca,0
Alfare,,Nestle,,,,bdscoalition.ca,0
ALG Brown & Associates,,,,,,bdscoalition.ca,0
Algemeen Burgerlijk Pensioenfonds (ABP),,,,,,bdscoalition.ca,0
Alhambra Water,,Primo Water Corp,,,,bdscoalition.ca,0
Aliavia Ventures,,,usa,,,bdscoalition.ca,0
Alicorn Venture Partners,,,,,,bdscoalition.ca,0
Align Probiotic,,Procter and Gamble,,,,bdscoalition.ca,0
Align Ventures,,,usa,,,bdscoalition.ca,0
Aliments Altra Inc.,,,,,,bdscoalition.ca,0
Alive Israel HealthTech Fund,,,,,,bdscoalition.ca,0
Alka-Seltzer,,Bayer,,,,bdscoalition.ca,0
All Bran Cereal,,Kellanova,,,,bdscoalition.ca,0
All Charities Campaign,,,,,,bdscoalition.ca,0
All Detergent,,Unilever,,,,bdscoalition.ca,0
All Raise,,,usa,,,bdscoalition.ca,0
All Trade Group,,,,,,bdscoalition.ca,0
Allan Kates and Danielle Himel / Rova Products Canada,,,,,,bdscoalition.ca,0
Allens Candy,,Nestle,,,,bdscoalition.ca,0
Allianz,,,,,,bdscoalition.ca,0
Alloy Labs Alchemist Fund,,,usa,,,bdscoalition.ca,0
"Alma Lasers, Inc.",,,usa,,,bdscoalition.ca,0
Almadev,,,,,,bdscoalition.ca,0
Almay,,Revlon,,,,bdscoalition.ca,0
Almaz Capital,,,usa,,,bdscoalition.ca,0
Almeda Ventures,,,,,,bdscoalition.ca,0
Almog C.D.A.Y,,,,,,bdscoalition.ca,0
Almore Capital,,,,,,bdscoalition.ca,0
Alo Detergent,,Procter and Gamble,,,,bdscoalition.ca,0
Alon Blue Square Israel Ltd.,,,,,,bdscoalition.ca,0
Alon Medtech Ventures,,,,,,bdscoalition.ca,0
Aloniq,,,,,,bdscoalition.ca,0
Alony-Hetz Properties & Investments Ltd,,,,,,bdscoalition.ca,0
Alpen Gold,,Mondelez International,,,,bdscoalition.ca,0
Alpha Edison,,,usa,,,bdscoalition.ca,0
Alpha Partners,,,usa,,,bdscoalition.ca,0
Alpia chocolate,,Nestle,,,,bdscoalition.ca,0
Alpino chocolate,,Nestle,,,,bdscoalition.ca,0
Alpo,,Nestle,,,,bdscoalition.ca,0
Alpro,,Danone S.A.,,,,bdscoalition.ca,0
Alta Park Capital,,,usa,,,bdscoalition.ca,0
AltaIR Ventures,,,usa,,,bdscoalition.ca,0
Altari Capital,,,usa,,,bdscoalition.ca,0
Alterna,,Henkel,,,,bdscoalition.ca,0
Altice International Ltd.,,,Luxembourg,,settlements,"bdscoalition.ca, whoprofits.org",0.5
Altitude Ventures,,,usa,,,bdscoalition.ca,0
Altoids,,Mars,,,,bdscoalition.ca,0
Altoni Leather S.P.A,,,,,,bdscoalition.ca,0
Alvalle (Vegetable Soup),,PepsiCo,,,,bdscoalition.ca,0
Always,,Procter and Gamble,,,,bdscoalition.ca,0
"Am Fresh North America, Inc.",,,,,,bdscoalition.ca,0
AM General,,,usa,,,bdscoalition.ca,0
Amacon,,,,,,bdscoalition.ca,0
